patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
79eb4168-1045-46e5-bee3-eb791d181ee9,Bác Minh Hoàng,791366764479,15/03/1950,0816655338,omai@example.net,"00 Bùi Số
Thị xã JaneThành phố, 184714",Tim mạch,4.44,Trọng Trí Trần,25/01/2026
95da75c1-a211-40f9-9fd3-4579466772ce,Thành Thế Dương,346439931736,01/03/2004,0368627866,ytran@example.net,"73 Đặng Dãy
JanePhường, 199704",Khỏe mạnh,11.53,Huy Tấn Vũ,14/03/2026
ec48bf55-afd3-40c4-a713-582cf41ea3ac,Ông Vũ Trần,751026566817,18/01/1948,0372591315,vtran@example.net,"0 Trần Số
JanePhường, 153945",Tim mạch,11.96,Trọng Vũ,10/03/2026
36760ce5-81e5-49f6-93f2-77cc1a85910d,Quý cô Lâm Trần,775965524708,04/01/1983,0377041665,john49@example.org,"4 John Khu
JaneHuyện, 106402",Tim mạch,8.47,Chị Khoa Bùi,14/01/2026
f8c88fae-a217-4f84-bdb0-25ff2451e5a4,Hương Mai,280772913980,21/08/1964,0918062273,dbui@example.com,"5 John Hẻm
Thành phố JohnHuyện, 564637",Khỏe mạnh,3.92,Nhật Mai Bùi,23/02/2026
1d2324e6-8329-40b7-8143-f426372f871a,Huy Đức Vũ,380909214495,03/08/2001,0908196120,john36@example.net,"32 Vũ Tổ
Thành phố JanePhường, 551574",Huyết áp cao,4.05,Chị Kim Mai,14/02/2026
ab05347f-d556-437d-8f08-81ee8011316b,Vũ Hữu Nguyễn,127567167680,23/09/1994,0771274809,duongjohn@example.com,"6 Trần Số
Huyện JohnXã, 582446",Tiểu đường,9.72,Vũ Bảo Trần,17/02/2026
862268d1-6683-4107-96c0-44d06f887f28,Kim Vũ,141448640234,26/07/1981,0989881967,janele@example.org,"8 Jane Tổ
Quận JohnQuận, 368402",Khỏe mạnh,11.67,Chị Duyên Lê,08/05/2026
c5d95f51-f387-41bd-ad59-72c6134a5a2f,Quý ông Nhiên Hoàng,799800342955,15/06/1996,0884510620,jane27@example.org,"90 Mai Ngõ
JaneThị xã, 139434",Huyết áp cao,11.22,Linh Vũ,15/01/2026
daf481a7-fa34-42e8-9d3f-7d7ea508dc95,Khoa Hoàng,920075964864,15/05/2004,0954938528,lduong@example.net,"93 Hoàng Dãy
Thành phố JaneThành phố, 950360",Tiểu đường,6.54,Vũ Xuân Nguyễn,18/02/2026
707df251-fdb1-429e-b010-ed13b526b22d,Bà Thành Vũ,021845703048,01/02/1988,0714133383,rdang@example.net,"518 Vũ Khu
Huyện JohnXã, 795847",Tim mạch,10.04,Bà Hạnh Bùi,26/01/2026
15b02530-f020-4992-b576-255e98549f22,Tùng Bùi,939523014917,24/01/1980,0387571281,johnbui@example.net,"23 Dương Làng
Quận JohnThành phố, 410160",Tiểu đường,6.88,Phương Mai,13/04/2026
e05b46c5-5636-4094-a974-31db09a9d1c1,Quý cô Bảo Lê,654835393613,21/12/1959,0769712367,janenguyen@example.com,"94 Phạm Làng
JaneQuận, 485709",Khỏe mạnh,8.21,Quý ông Khoa Bùi,08/04/2026
297ca4ff-f75d-499f-ab2d-5b0987079ad4,Chị Ánh Vũ,439172546781,17/06/1942,0715358943,jdang@example.org,"12 Dương Hẻm
JohnQuận, 956375",Huyết áp cao,10.11,Bác Nam Bùi,11/01/2026
3c5bf3a7-5fbb-40b1-8083-89c8657e01c9,Hà Phú Phạm,131888628177,13/03/1939,0504433868,john52@example.org,"2 Dương Đường
Thành phố JaneQuận, 975522",Tiểu đường,10.85,Quý cô Hà Vũ,16/02/2026
3d0a5f0c-0c39-4ec7-9f31-74054d183eba,Hải Mai Trần,376600351663,12/06/1950,0784021686,ihoang@example.org,"2 Bùi Đường
JohnXã, 536802",Tim mạch,5.33,Cô Phương Đặng,14/01/2026
81e03a5e-8b48-4496-86ab-d4e7f4124360,Hồng Dương,651737031428,14/04/1941,0361287156,qdang@example.net,"31 Lê Đường
JanePhường, 283594",Huyết áp cao,10.65,Quý ông Phúc Lê,13/01/2026
752a7d25-f190-4b7e-86b4-69efb74eba93,Thảo Phạm,047998572449,27/04/1941,0740523260,johndang@example.com,"03 Đặng Đường
JaneThành phố, 938171",Tim mạch,6.02,Huy Hữu Dương,17/03/2026
7f072cb9-2fd3-40c0-b945-f2fd56cb1ab0,Bác Minh Vũ,685466821422,08/08/1946,0518516230,btran@example.net,"Huyện JaneThành phố
44 Hoàng Số, 274739",Tiểu đường,6.01,Bác Bảo Nguyễn,10/03/2026
46494296-6f58-42c3-bf86-cc319d66e815,Hương Bùi,530254900207,21/10/1984,0366083719,johnle@example.net,"213 Đặng Số
Quận JaneHuyện, 490084",Tiểu đường,7.32,Ông Nhiên Lê,13/04/2026
a6499cdc-507b-4072-a5e5-8f345df06e8c,Quang Trần,207336159826,20/11/1938,0733740388,janemai@example.com,"47 Jane Dãy
Thành phố JohnThành phố, 574001",Huyết áp cao,10.43,Quý cô Hà Đặng,10/05/2026
8ccc9cea-109f-48ee-b5a4-720058f0dd23,Khoa Lê,881605284015,20/01/1959,0865250973,john13@example.org,"589 Dương Hẻm
Thành phố JaneThị xã, 851759",Tim mạch,6.24,Quý ông Huy Hoàng,15/01/2026
a4704d48-5128-49b1-b8ed-e0ca20156a72,Nhật Dương,865529790711,09/10/2005,0964711214,john89@example.org,"80 John Khu
Quận JanePhường, 336422",Tim mạch,11.26,Minh Thế Trần,18/02/2026
8d03f17a-f4d3-45c1-a293-19fa3240d7a1,Hoàng Vũ,943296144257,19/12/2007,0854779791,maijohn@example.net,"995 John Ngõ
Huyện JohnXã, 536822",Tiểu đường,11.28,Chi Mai,26/02/2026
7ba24588-4d56-4a3d-b4e7-069aa4540937,Quý cô Thảo Dương,364699156892,16/04/1945,0939236048,lejane@example.com,"92 Đặng Tổ
JohnHuyện, 639995",Tim mạch,3.57,Thành Phạm,01/04/2026
3f779cae-7318-496d-8479-06121f5d988f,Cô An Vũ,369020525032,23/08/1987,0822616008,kpham@example.com,"278 Dương Khu
JohnThành phố, 512344",Tiểu đường,3.56,Anh Trung Hoàng,10/03/2026
7eb162f1-4806-4804-8cf0-374c0c74dc0f,Bác Tùng Nguyễn,246740549647,27/12/1949,0322236835,qle@example.net,"06 John Tổ
JohnThị xã, 628750",Khỏe mạnh,11.96,Bác Trọng Hoàng,24/01/2026
64d6dfbf-18c0-4e2b-b99f-070420f0156a,Dũng Phú Lê,151286723501,14/06/1962,0909167809,cmai@example.org,"87 John Tổ
JohnThị xã, 746447",Huyết áp cao,11.6,Nhiên Đặng,09/04/2026
7d66971e-8847-4c56-827c-9f8cd40ac5e9,Châu Nguyễn,371748528061,29/06/1985,0501641405,john69@example.com,"7 Hoàng Làng
Thị xã JohnXã, 759580",Huyết áp cao,7.49,Bảo Hải Nguyễn,22/04/2026
30d73df7-1c22-4cea-b355-56a5f2bd92f2,Chi Đặng,291885126580,09/05/1992,0917298709,janepham@example.com,"0 John Tổ
JaneHuyện, 281594",Tim mạch,11.04,Bác Tùng Đặng,05/05/2026
9c2dfa97-43ad-4d62-b17c-fb21cdbc2c1c,Anh Quang Vũ,255698035632,26/12/1975,0934185342,janevu@example.net,"75 Vũ Ngõ
JaneHuyện, 910616",Khỏe mạnh,11.58,Bà An Vũ,16/01/2026
a7edc8d8-713f-4f8c-ac8b-e53758ab4778,Châu Phạm,126692078513,10/11/1962,0791099790,jane21@example.net,"083 John Ngõ
JanePhường, 595351",Tiểu đường,7.94,Hải Lê,02/01/2026
edd97a1a-fa58-4b27-8ce3-e7c3f6eab3a0,Quý cô Hải Dương,057269237517,04/05/2000,0555362980,janedang@example.com,"9 John Hẻm
JohnThành phố, 976822",Tiểu đường,6.33,Nhật Xuân Vũ,08/01/2026
9a4ffc0c-9165-42ed-8c63-6e95025f5543,Thành Vũ,958839698808,12/03/1997,0567096016,gle@example.com,"27 Lê Đường
JaneXã, 807160",Tiểu đường,6.21,Chị Duyên Bùi,25/03/2026
669d01ff-1634-425b-93f3-007383e96ef4,Bảo Lê,837765906298,04/05/2000,0753108844,john04@example.com,"49 Jane Tổ
Thành phố JohnThị xã, 421709",Huyết áp cao,8.41,Quý cô Hải Mai,02/03/2026
ea87855e-a382-45d3-9e0e-f546b0b6dedf,Quang Hoàng,946947519688,01/06/1965,0735752489,johnduong@example.org,"87 John Ngõ
JaneThành phố, 691573",Huyết áp cao,4.4,An Mai,09/04/2026
265cb9d9-8962-4f6e-929c-93b333c08bf1,Bà Phương Dương,821837488494,07/03/1951,0929046696,janetran@example.net,"28 Dương Đường
JanePhường, 122827",Huyết áp cao,3.53,Hạnh Văn Phạm,23/04/2026
58330b30-6c77-4e95-8b98-1ccd12b2102d,Phương Nguyễn,135308702410,01/10/1944,0993865696,snguyen@example.com,"6 Bùi Dãy
JaneThành phố, 815894",Tim mạch,5.68,Bà Hà Lê,15/04/2026
ba54e920-2099-4180-8762-3997649f7d88,Cô Vi Nguyễn,499199071896,19/12/1975,0556352857,bmai@example.net,"752 Phạm Ngõ
Thị xã JohnQuận, 316092",Khỏe mạnh,4.64,Hà Hoàng,07/01/2026
b40a9181-ac09-4db7-9908-6e477249f62c,Mai Nguyễn,572897512497,08/02/1990,0344801186,ipham@example.org,"843 Hoàng Tổ
Huyện JohnPhường, 646571",Khỏe mạnh,8.04,Quý cô Thảo Vũ,12/01/2026
e134edfc-9777-4f10-b2d2-393f8e85140d,Quý cô Phương Dương,570988522273,27/09/1941,0511660620,jane85@example.net,"62 Phạm Làng
JohnThị xã, 160423",Khỏe mạnh,4.08,Kim Trí Bùi,17/02/2026
a58e83dd-548c-4d84-b40d-e04941476506,Nhật Đặng,882774948050,11/12/1947,0308253979,johnvu@example.com,"398 Jane Làng
JaneThành phố, 322096",Huyết áp cao,10.7,Cô Yến Dương,17/02/2026
345af934-b42a-4d93-9aba-0f15b2149062,Lâm Tấn Vũ,693269154004,02/03/1987,0353691180,pmai@example.com,"7 Trần Dãy
JohnHuyện, 428122",Tim mạch,7.02,An Hải Lê,04/01/2026
95831d58-ef4c-4119-8da5-d39b42c21797,Hạnh Trí Phạm,974971281639,02/04/1980,0345036452,janehoang@example.org,"77 Lê Tổ
Quận JaneQuận, 668471",Huyết áp cao,3.6,Vân Nguyễn,15/01/2026
0c6b7074-ab10-4c9b-9168-2e09f1f7d904,Hồng Lê,212357277618,09/11/1966,0398258935,lejohn@example.org,"997 Nguyễn Đường
JohnThành phố, 655134",Khỏe mạnh,10.24,Tùng Vũ,04/01/2026
ac8d6c7d-b2a6-4468-902b-124380913ac1,Bảo Đức Trần,443441672292,23/09/2006,0573235859,johnpham@example.net,"61 Bùi Dãy
Quận JanePhường, 968286",Khỏe mạnh,4.43,Hải Nguyễn,19/01/2026
8d7dd772-608e-4f5c-a117-727067c0518b,Ông Nam Lê,208407389857,12/08/1946,0327053840,pbui@example.com,"0 John Dãy
JohnThành phố, 817675",Huyết áp cao,9.65,Tùng Hoàng,08/05/2026
d9b59f84-edc3-41c3-adea-2d2d086c405f,Nam Hoàng Hoàng,482945033382,25/12/1954,0555243176,ttran@example.org,"8 Bùi Hẻm
Huyện JohnThành phố, 558320",Huyết áp cao,8.73,Cô Linh Hoàng,30/04/2026
f80b2cea-658e-44a2-9879-cf35f4719986,Nam Đức Dương,650569138294,17/02/2002,0348225786,janemai@example.com,"943 John Khu
Thị xã JohnPhường, 508548",Tiểu đường,11.73,Quang Đức Trần,02/01/2026
5c238d8d-71da-45b9-8eea-9db8f165d779,Tú Lê,582503758421,29/03/1947,0961360850,janeduong@example.net,"015 Jane Số
Huyện JaneThị xã, 917018",Khỏe mạnh,10.31,Nhật Mai,17/02/2026
af70de70-2b69-495e-8567-1b58926bffa5,Bảo Trí Vũ,817006658775,05/05/1976,0512138698,jane21@example.org,"71 Vũ Làng
JohnThị xã, 212168",Tiểu đường,11.35,Bà An Bùi,06/03/2026
cdd7f460-6140-47d3-9ec4-ea48d773f98d,Bảo Tấn Bùi,461589713863,19/11/1953,0991864199,jane93@example.com,"47 Jane Số
JaneHuyện, 219420",Huyết áp cao,9.17,Chị Dương Mai,06/01/2026
f166cdcf-762c-4fbc-ba2a-a7baf3f81c31,Quý cô Vi Vũ,185709638215,08/10/1944,0571067321,iduong@example.net,"2 Bùi Ngõ
JaneXã, 520274",Khỏe mạnh,10.99,Phương Thị Đặng,15/04/2026
15c1604f-ea16-4354-a35f-c9c198049562,Lâm Đặng,865783268758,30/12/1957,0894151382,hoangjane@example.com,"JohnThành phố
38 Jane Tổ, 510133",Khỏe mạnh,4.94,Anh Quang Nguyễn,04/04/2026
eba900e1-6a7d-4d96-8ba1-72331ac3bf31,Hà Lê,743461551195,07/10/1982,0853439309,jane73@example.net,"775 Jane Đường
Thành phố JanePhường, 214675",Tiểu đường,6.9,Chị Phương Lê,18/04/2026
6d268b37-8f52-42d3-94bb-bcf828fea761,Anh Thành Lê,867188478179,22/09/1960,0769485314,bbui@example.net,"96 Nguyễn Làng
Huyện JohnXã, 206694",Tiểu đường,6.39,Bà Thành Phạm,30/03/2026
dcd5bfae-abb3-46a7-8329-97801d2c2721,Bác Trọng Bùi,029272172928,13/10/1988,0803350401,dangjane@example.com,"9 John Tổ
Quận JaneThành phố, 291936",Khỏe mạnh,8.09,Hoàng Hữu Bùi,26/04/2026
6c4c450b-623a-40fc-9326-7d25234b4562,Quý cô Hải Mai,722786433966,08/12/1958,0819107017,janevu@example.org,"0 Nguyễn Dãy
Quận JaneXã, 629990",Huyết áp cao,7.74,Quý ông Châu Bùi,28/03/2026
90bde900-1529-46f5-aad1-1fe87d1b695e,Vi Phạm,434649637255,10/02/1975,0831982256,vujohn@example.net,"7 John Khu
JohnPhường, 562806",Tiểu đường,4.73,Quý cô Hương Phạm,27/02/2026
7321a8b2-0840-405a-bfd2-f491dff389aa,Quang Trần,457233456963,12/02/1995,0997654464,phamjohn@example.net,"9 Lê Hẻm
Quận JohnXã, 467856",Huyết áp cao,6.78,Trọng Mai,02/02/2026
4aea1b8f-b43c-4e0a-ba9f-c10e52daf681,Nhiên Vũ,558067925106,15/05/2005,0502347773,lejane@example.org,"Quận JohnQuận
672 Bùi Số, 573947",Tiểu đường,8.14,Hải Trần,20/03/2026
b1d81887-4739-4c7b-bff3-0c8d83ff3e96,Bảo Mai Bảo Đặng,078629311469,11/09/1935,0924483688,duongjane@example.org,"637 Đặng Khu
JohnXã, 993829",Tiểu đường,4.03,Bác Hưng Nguyễn,20/01/2026
75a72686-d632-4d31-88ac-ffcfa04d4d14,Hương Lê,430720786250,02/06/1995,0791810394,bnguyen@example.org,"Huyện JohnHuyện
5 Trần Tổ, 796787",Tiểu đường,5.63,Cô Kim Vũ,15/02/2026
b4258e19-1758-447e-a7cd-e1436de21429,An Phạm,412231488277,02/04/2000,0746717775,lejohn@example.net,"516 Jane Ngõ
Thị xã JohnPhường, 945106",Khỏe mạnh,4.79,Hà Đặng,13/03/2026
61fa01ba-231a-47c7-8c9b-ff5ce1887eaf,Chị Hà Mai,096146567651,06/07/1936,0989508122,janedang@example.net,"97 John Ngõ
Thành phố JaneHuyện, 550246",Khỏe mạnh,4.37,Hoàng Hải Vũ,06/05/2026
99db1302-8dab-46d3-bf87-dfc2159152f2,Nam Vũ,570072540409,27/04/1963,0809778926,janevu@example.net,"61 Jane Ngõ
Huyện JaneQuận, 505629",Tiểu đường,3.65,Thành Xuân Dương,15/01/2026
0387f74d-1149-4096-965d-744f0445c1a8,Trung Nguyễn,272759318424,03/08/1943,0733124758,smai@example.net,"61 Jane Ngõ
JohnXã, 313068",Huyết áp cao,7.44,Bà Kim Hoàng,04/05/2026
ae59aa52-a65b-422b-95a3-86d9c362a810,Hạnh Bùi,057261888730,02/11/1967,0730008602,phamjohn@example.com,"21 John Đường
Thị xã JaneXã, 642347",Huyết áp cao,8.85,Phúc Đặng,25/01/2026
44cdbfdd-df9b-441e-87f7-bda1bff15840,An Đặng,970399925992,15/10/1993,0335367046,john49@example.net,"5 Jane Hẻm
JohnHuyện, 910894",Khỏe mạnh,8.75,Khoa Trần,14/02/2026
0b461173-00a8-4473-8242-5912bda3c162,Mai Nguyễn,022411395627,26/07/1999,0512356931,jane22@example.org,"536 Vũ Ngõ
JohnXã, 806033",Huyết áp cao,10.37,Lan Phạm,11/04/2026
66a302d6-f43e-4c48-8bc1-f9e5fb3df063,Nhật Vũ,396852403092,23/08/1977,0853761215,john87@example.org,"4 Jane Tổ
JohnPhường, 673108",Tiểu đường,4.74,Chị Ngọc Bùi,05/01/2026
a2cd1590-58af-493c-8aa2-b4c93ba5bd76,Linh Nguyễn,075621418065,27/07/1986,0851259749,john38@example.org,"410 Jane Tổ
JohnXã, 200219",Tim mạch,5.27,Quý cô Hà Hoàng,21/04/2026
f6d70248-a995-4cc3-af5b-09a60ff1c51f,Chị Hạnh Vũ,108756001551,26/03/1978,0505009723,udang@example.com,"291 John Hẻm
JaneHuyện, 526259",Huyết áp cao,4.36,Phương Đặng,10/02/2026
43d78f2b-769d-41e3-8eed-412473b0d676,Hà Lê,979480590301,05/10/1976,0752711218,phamjane@example.org,"68 Jane Khu
Thành phố JaneThị xã, 682959",Khỏe mạnh,5.27,Cô Chi Trần,28/01/2026
d49347fc-0fc9-4d2e-830f-9be91f178f93,Chị Mai Bùi,106235642809,08/01/1986,0860057933,hoangjane@example.org,"721 Trần Đường
JohnQuận, 701761",Huyết áp cao,8.45,Nhật Hữu Dương,06/01/2026
2c3d17e2-6d39-4a75-aee7-0ab261fa8e7a,Trung Xuân Vũ,378883007746,12/06/1973,0874699019,cle@example.net,"4 Bùi Dãy
Thành phố JaneThị xã, 243902",Tim mạch,3.75,Lâm Hải Mai,04/01/2026
